City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
296,saint-paul,-21.0096,55.2707,294.56,74,68,1.16,RE,2024-09-17
297,cabo san lucas,22.8909,-109.9124,299.32,71,0,5.81,MX,2024-09-17
298,brookings,44.3114,-96.7984,297.62,74,0,4.63,US,2024-09-17
299,chaykovskiy,56.7686,54.1148,284.93,93,31,1.15,RU,2024-09-17
300,st. john's,47.5649,-52.7093,290.91,84,100,4.47,CA,2024-09-17
301,cockburn town,21.4612,-71.1419,302.37,80,100,9.01,TC,2024-09-17
302,howrah,22.5892,88.3103,301.15,94,40,2.06,IN,2024-09-17
303,klyuchi,52.2667,79.1667,276.8,80,8,3.57,RU,2024-09-17
304,tolanaro,-25.0319,46.9987,292.19,94,0,1.03,MG,2024-09-17
305,la passe,45.5549,-0.8967,286.59,81,2,4.42,FR,2024-09-17
306,inhambane,-23.865,35.3833,296.15,96,27,1.59,MZ,2024-09-17
307,daru,-9.0763,143.2092,298.35,88,100,8.57,PG,2024-09-17
308,sao paulo de olivenca,-3.3783,-68.8725,297.54,91,94,1.35,BR,2024-09-17
309,chania,35.5122,24.0156,306.75,77,20,2.06,GR,2024-09-17
310,tadine,-21.55,167.8833,295.49,47,73,7.56,NC,2024-09-17
311,saint-philippe,-21.3585,55.7679,293.89,79,66,5.43,RE,2024-09-17
312,nguti,5.3299,9.4185,295.59,97,100,0.93,CM,2024-09-17
313,kitui,-1.367,38.0106,289.04,92,21,2.4,KE,2024-09-17
314,nuuk,64.1835,-51.7216,274.49,100,100,3.09,GL,2024-09-17
315,mankono,8.0586,-6.1897,295.99,91,30,0.83,CI,2024-09-17
316,usogorsk,63.4106,48.6872,286.3,86,5,2.68,RU,2024-09-17
317,lockwood,45.8191,-108.4149,298.38,43,40,3.6,US,2024-09-17
318,kiranur,10.5699,78.7868,300.99,63,42,6.02,IN,2024-09-17
319,hilo,19.7297,-155.09,302.01,80,100,3.09,US,2024-09-17
320,port alfred,-33.5906,26.891,287.69,91,53,1.33,ZA,2024-09-17
321,suva,-18.1416,178.4415,294.86,100,75,4.63,FJ,2024-09-17
322,antsiranana,-12.2787,49.2917,294.71,75,0,7.28,MG,2024-09-17
323,goundam,16.4145,-3.6708,304.69,52,97,4.59,ML,2024-09-17
324,bennington,42.8781,-73.1968,291.21,83,100,2.57,US,2024-09-17
325,auki,-8.7676,160.7034,303.92,63,2,3.11,SB,2024-09-17
326,puerto bolivar,-3.2667,-79.9833,294.95,86,10,1.68,EC,2024-09-17
327,lata,40.1629,-8.3327,292.87,47,0,2.74,PT,2024-09-17
328,ulsteinvik,62.3432,5.8487,286.9,79,100,0.45,NO,2024-09-17
329,utrik,11.2278,169.8474,301.32,76,76,4.03,MH,2024-09-17
330,ma'an,26.9775,110.7211,297.78,84,100,0.64,CN,2024-09-17
331,ibadan,7.3878,3.8964,296.09,97,100,1.29,NG,2024-09-17
332,oebisfelde,52.4333,10.9833,289.29,59,73,2.4,DE,2024-09-17
333,tanjung pandan,-2.75,107.65,302.25,61,100,4.09,ID,2024-09-17
334,college,64.8569,-147.8028,283.19,78,75,2.57,US,2024-09-17
335,lebyazh'ye,55.2689,66.4947,278.52,75,0,0.49,RU,2024-09-17
336,vytegra,61.0064,36.4481,286.7,88,93,1.49,RU,2024-09-17
337,cox's bazar,21.4532,91.9798,299.56,87,78,2.59,BD,2024-09-17
338,yaren,-0.5472,166.916,301.5,69,100,3.04,NR,2024-09-17
339,geraldton,-28.7667,114.6,292.38,42,0,6.17,AU,2024-09-17
340,forde,61.4522,5.8572,283.21,100,100,1.03,NO,2024-09-17
341,porto de moz,-1.7483,-52.2383,300.18,50,5,1.74,BR,2024-09-17
342,taro,-8.3862,115.28,297.77,56,69,2.01,ID,2024-09-17
343,bridgewater,44.3835,-64.5155,290.97,74,0,3.6,CA,2024-09-17
344,mananjary,-21.2167,48.3333,291.16,86,25,3.01,MG,2024-09-17
345,anse-bertrand,16.4721,-61.5078,300.05,71,11,8.08,GP,2024-09-17
